question,cls
การลงทุนแบบสวนตลาด (Contrarian Investing Strategy) มีวิธีการลงทุนอย่างไร,0
สาเหตุของการระดมทุนด้วยตราสารหนี้ของภาครัฐและรัฐวิสาหกิจ คืออะไร,0
XB คืออะไร,0
ราคาหุ้นสามัญลดลงรุนแรงเนื่องจากบริษัทมีความเสี่ยงที่จะล้มละลาย ส่งผลอย่างไรกับหุ้นกู้แปลงสภาพ,0
RMF มีการจ่ายปันผลอย่างไร,0
วิธีคิดลดเงินปันผล (Dividend Discount Model :DDM) คืออะไร,0
การกำหนดสัดส่วนสินทรัพย์เชิงกลยุทธ์ (Strategic Asset Allocation: SAA) คืออะไร,0
กองทุนรวมที่มีความเสี่ยงทั้งในและต่างประเทศ คืออะไร,0
XR คืออะไร,0
หน้าที่ของสถาบันจัดอันดับความน่าเชื่อถือ คืออะไร,0
ผลตอบแทนของกองทุนรวมมีอะไรบ้าง,0
XN คืออะไร,0
ลักษณะสำคัญของกองทุนเปิด คืออะไร,0
Market timing (การจับจังหวะลงทุน) คืออะไร,0
16.40 – 17.00 น. มีรายละเอียดอย่างไร,0
BOT คืออะไร,0
กระทรวงการคลัง ให้ข้อมูลอะไรบ้าง,0
ธนาคารแห่งประเทศไทย ให้ข้อมูลอะไรบ้าง,0
สิทธิประโยชน์ทางภาษีของผู้ถือ NVDR ที่ผู้ลงทุนเป็นบุคคลธรรมดา คืออะไร,0
ที่ปรึกษาทางการเงิน ทำหน้าที่อะไร,0
วิธีคิดลดกระแสเงินสดอิสระของผู้ถือหุ้น (Discounted Free Cash Flow to Equity) คืออะไร,0
หน้าที่ของนายทะเบียน คืออะไร,0
วัตถุประสงค์การออก Warrant (ไทย) คืออะไร,0
Combined Method (ผสม) คืออะไร,0
สิทธิทางภาษีของ RMF คืออะไร,0
กองทุนรวมที่กำหนดระยะเวลาลงทุน (Term Fund) คืออะไร,0
Warrant (ไทย) ต้องมีผู้ดูแลสภาพคล่องหรือไม่,0
กลยุทธ์ที่เลือกกองทุนแบบ Passive เป็นส่วนใหญ่ และ ส่วนที่เหลือจะเลือกกองทุนแบบ Active คือกลยุทธ์อะไร,0
ขั้นตอนการคำนวณการประเมินมูลค่าด้วยวิธีคิดลดเงินปันผล มีกี่ขั้นตอน,0
ตราสารหนี้แบ่งตามผู้ออกตราสาร มีอะไรบ้าง,0
เวลาการซื้อขายในตลาด TBX คือช่วงเวลาใดบ้าง,0
Warrant (ไทย) มีภาษีเมื่อมีการส่งมอบหรือไม่,0
Small-cap Stock คืออะไร,0
ราคาของกองทุน คืออะไร,0
การประเมินมูลค่าตราสารหนี้ที่ไม่จ่ายดอกเบี้ย ทำอย่างไร,0
Speculative Stock หุ้นเก็งกำไร มีลักษณะอย่างไร,0
Income Stock / Dividend Stock หุ้นปันผล มีลักษณะอย่างไร,0
ใครเป็นผู้ออกตราสารหนี้ภาคเอกชน มีใบตราสาร,0
การลงทุนแบบเน้นคุณค่า (Value Investing) มีวิธีการอย่างไร,0
สาเหตุของการระดมทุนด้วยตราสารหนี้ของภาคเอกชน คืออะไร,0
คณะกรรมการกำหนดนโยบายการเงิน (กนง.) มีกี่คน ใครบ้าง,0
ตราสารหนี้แบ่งตามลักษณะการถือ มีอะไรบ้าง,0
สำนักงานบริหารหนี้สาธารณะ ให้ข้อมูลอะไรบ้าง,0
หลักเกณฑ์ในการเปิดบัญชีซื้อขายหลักทรัพย์ ทำอย่างไร,0
ใช้เจ้าหน้าที่วิเคราะห์ข้อมูลการซื้อขายอย่างไร,0
NVRD อ้างอิงกับหลักทรัพย์ประเภทใดได้บ้าง,0
ความเสี่ยงจากอัตราแลกเปลี่ยน (Exchange rate risk / Currency risk) คืออะไร,0
การคำนวณ YTC และ YTM แต่มีจุดต่างกัน กี่จุด,0
Warrant ความหมายโดยสากลคืออะไร,0
เวลาในการซื้อขายหลักทรัพย์ มีรายละเอียดอย่างไร,0
ผลตอบแทนและความเสี่ยงของ NVDR คืออะไร,0
วันครบกำหนดไถ่ถอน (Maturity Date) คืออะไร,0
สิทธิประโยชน์ทางภาษีของผู้ถือ NVDR ที่ผู้ลงทุนเป็นนิติบุคลที่จัดตั้งขึ้นตามกฎหมายต่างประเทศ คืออะไร,0
การจับคู่หุ้น (Pairs Trading) มีวิธีการอย่างไร,0
การหยุดความเสียหาย (Stop Loss) มีวิธีการอย่างไร,0
แบ่งประเภทกองทุนรวมตามนโยบายการจ่ายผลตอบแทน มีอะไรบ้าง,0
ST คืออะไร,0
แบ่งประเภทกองทุนรวมตามนโยบายการลงทุน มีอะไรบ้าง,0
รูปแบบการใช้สิทธิของ DW คืออะไร,0
LB คืออะไร,0
ประเภทของหุ้นบุริมสิทธิ มีอะไรบ้าง,0
กระบวนการตรวจสอบการเปิดบัญชีหลักทรัพย์มีวิธีใดบ้าง,0
Cyclical Stock หุ้นวัฏจักร มีลักษณะอย่างไร,0
หุ้นบุริมสิทธิ (Preferred Stock) คืออะไร,0
หุ้นกู้ต่างประเทศ (Foreign Bond) คืออะไร,0
เงื่อนไขในการลงทุนของ RMF คืออะไร,0
การส่งมอบ Warrant (ไทย) คือวิธีใด,0
Small-cap Stock (หุ้นเล็ก) คืออะไร,0
การประเมินมูลค่า มีขั้นตอนอะไรบ้าง,0
Free hold คืออะไร,0
หากปริมาณการออกตราสารหนี้ในตลาดแรกมีสูง หมายความว่าอย่างไร,0
แบ่งประเภทกองทุนรวมตามความเสี่ยงต่างประเทศ มีอะไรบ้าง,0
การเข้าซื้อ ด้วยจำนวนเงินเท่าๆ กัน ในช่วงเวลาที่กำหนด คือกลยุทธ์อะไร,0
NC คืออะไร,0
Nano-Cap Stock คืออะไร,0
ความสามารถของการใช้ระบบใช้ระบบคอมพิวเตอร์ (WATCHs) คืออะไร,0
Micro-cap Stock คืออะไร,0
ความเสี่ยงเมื่อลงทุนต่างประเทศ คืออะไร,0
ความเสี่ยงที่จะกระทบต่อผลการดำเนินงาน มีอะไรบ้าง,0
14.00 – 14.30 น. มีรายละเอียดอย่างไร,0
สูตรการคำนวณ เงินปันผล คืออะไร,0
กองทุนรวมตราสารหนี้ระยะสั้น (Short-Term Fixed-Income Fund) คืออะไร,0
หุ้นกู้ยูโร (Euro Bond) คืออะไร,0
TRIS Rating ให้ข้อมูลใดบ้าง,0
กลยุทธ์ที่เลือกกองทุนแบบ Passive ทั้งหมด เพื่อสร้างผลตอบแทนใกล้เคียงกับดัชนีที่สุด คือกลยุทธ์อะไร,0
ประเภทของสิทธิของ DW คืออะไร,0
ราคาปลายงวด คืออะไร,0
NVDR ที่อ้างอิงกับหุ้นสามัญ ต้องมีการรายงานการถือครองอะไรบ้าง,0
ที่มาของเงินทุนในการทำธุรกิจมาจากแหล่งใดบ้าง,0
กองทุนรวมสินทรัพย์ทางเลือก (Alternative Investment Fund) คืออะไร,0
ความเสี่ยงทางธุรกิจ (Business Risk) คืออะไร,0
NR คืออะไร,0
ใครคือผู้ออกตราสาร Warrant (ไทย),0
ข้อบังคับของตลาดหลักทรัพย์ที่กำหนดว่าลักษณะของคำสั่งซื้อขายที่ไม่เหมาะสมมีอะไรบ้าง,0
มูลค่าตลาด คืออะไร,0
เครื่องมือการลงทุนที่เข้ามาทดแทนกองทุนรวมอสังหาริมทรัพย์ที่ไม่สามารถจัดตั้ง และเพิ่มทุนได้อีก คืออะไร,0
SP หมายถึงอะไร,0
9.30 – 10.00 น. มีรายละเอียดอย่างไร,0
SP คืออะไร,0
ผู้ลงทุนสามารถตัดสินใจถือ/อยู่เฉยๆเมื่อใด,0
กองทุนรวมที่ไม่มีความเสี่ยงต่างประเทศ คืออะไร,0
ช่องทางการส่งคำสั่งซื้อขาย แบ่งตามประเภทผู้ซื้อ มีอะไรบ้าง,0
กองทุนรวมโครงสร้างพื้นฐาน (Infrastructure Fund) คืออะไร,0
กองทุนเปิดจะต้องเลิกโครงการเมื่อใด,0
อัตราผลตอบแทนจากดอกเบี้ย คืออะไร,0
พันธบัตรชดเชยเงินเฟ้อ (Inflation-Linked bond) คืออะไร,0
DW มีภาษีเมื่อมีการส่งมอบหรือไม่,0
ผู้ลงทุนรายใหญ่ คืออะไร,0
บัญชีมาร์จิ้น (Margin Account) คืออะไร,0
ผู้ลงทุนรายใหญ่ที่เป็นบุคคลธรรมดา ต้องมีรายได้เท่าไหร่,0
ความเสี่ยงต่อระดับความต้องของการลงทุนในตราสารทุนคืออะไร,0
Large-cap Stock (หุ้นใหญ่) คืออะไร,0
อัตราส่วนที่ใช้วิเคราะห์ DW มีอะไรบ้าง,0
ประเภทของตราสารทุน มีอะไรบ้าง,0
ความเสี่ยงจากการลงทุนต่อ (Reinvestment risk) มีอะไรบ้าง,0
ผู้ลงทุนรายใหญ่พิเศษ คืออะไร,0
รูปแบบการใช้สิทธิของ Warrant (ไทย) คืออะไร,0
Premium Bond คืออะไร,0
SET Connect คืออะไร,0
ใครคือผู้ออกพันธบัตรรัฐบาล,0
วิธีการบริหารการลงทุนของกองทุนรวม มีกี่ประเภท,0
กองทุนผสม (Mixed Fund) คืออะไร,0
จุดเด่นของระบบ SET Connect คืออะไร,0
ตราสารหนี้แบ่งตามสิทธิเรียกร้อง มีอะไรบ้าง,0
ความเสี่ยงด้านสภาพคล่อง (Liquidity risk) มีอะไรบ้าง,0
กองทุนรวมคุ้มครองเงินต้น (Capital Protection Fund) คืออะไร,0
ตราสารหนี้ที่ผู้ลงทุนมีสิทธิเรียกคืนเงินกู้ก่อนครบกำหนด (Puttable Bond) คืออะไร,0
ข้อเสียของ Book Value (มูลค่าตามบัญชี) คืออะไร,0
มูลค่าหน้าตั๋ว/มูลค่าที่ตราไว้ (Face Value/Par Value) คืออะไร,0
การรับซื้อหลักทรัพย์ที่เหลือเพื่อขายต่อ คืออะไร,0
Asset Based Approach คืออะไร,0
ความเสี่ยงต่อผลการดำเนินงานของกิจการ คืออะไร,0
สูตรการคำนวณ อัตราผลตอบแทนรวม คืออะไร,0
หนังสือชี้ชวนส่วนสรุปข้อมูลสำคัญ (Fund Fact Sheet) ทำให้ผู้ลงทุนทราบอะไรบ้าง,0
มาตรการการป้องกันไม่ให้เกิดการซื้อขายที่ไม่เป็นธรรม มีอะไรบ้าง,0
สิทธิประโยชน์ของผู้ถือ NVDR มีอะไรบ้าง,0
บทวิเคราะห์เชิงลึกควรมีองค์ประกอบเพิ่มเติมอะไรบ้าง,0
ตลาดหลักทรัพย์แห่งประเทศไทย ให้ข้อมูลอะไรบ้าง,0
สูตรการคำนวณ Capital gain คืออะไร,0
Fund of Funds คืออะไร,0
ประเภทของกองทุนรวม แบ่งตามเกณฑ์มีกี่เกณฑ์,0
ความเสี่ยงจากผู้จัดการกองทุน (Fund manager risk) คืออะไร,0
รายได้หลักของกองทุนรวมโครงสร้างพื้นฐานมาจากที่ใด,0
ธุรกรรมซื้อคืน คืออะไร,0
Large-cap Stock คืออะไร,0
อัตราดอกเบี้ยนโยบาย คืออะไร,0
อัตราผลตอบแทนถึงวันครบกำหนด คืออะไร,0
บทลงโทษตามความผิดของ พรบ. หลักทรัพย์และตลาดหลักทรัพย์ มีอะไรบ้าง,0
ใครเป็นผู้ออกตราสารหนี้ภาครัฐ ไร้ใบตราสาร,0
ตราสารศุกูก (Sukuk) คืออะไร,0
Value Stock หุ้นคุณค่า มีลักษณะอบ่างไร,0
ขายตราสารหนี้ เมื่อใด,0
REITs คืออะไร,0
Cap คืออะไร,0
Blue-Chip Stock หุ้นใหญ่แข็งแกร่ง มีลักษณะอย่างไร,0
ราคาหุ้นสามัญลดลง ส่งผลอย่างไรกับราคาหุ้นกู้แปลงสภาพ,0
ประโยชน์ของกองทุนรวมต่อผู้ลงทุน คืออะไร,0
MLR (Minimum Load Rate) คืออะไร,0
กองทุนรวม ETF (Exchange Trade Fund) คืออะไร,0
การขอเปิดบัญชีหลักทรัพย์ต้องมีข้อมูลเกี่ยวกับลูกค้าอะไรบ้าง,0
กองทุนรวมแบบมีประกัน (Guarantee Fund) คืออะไร,0
ประเภทของธุรกิจในไทย มีกี่ประเภท,0
ความเสี่ยงจากความผันผวนของราคากองทุน (Market risk) คืออะไร,0
SETSMART Enterprise มีอะไรบ้าง,0
หากผู้ลงทุนคาดว่าอัตราเงินเฟ้อในอนาคตจะสูงขึ้น จะส่งผลอย่างไร,0
ผู้ค้าตราสารหนี้สร้างรายได้จากที่ใด,0
หุ้นกู้ระหว่างประเทศ (International Bond) คืออะไร,0
Equity-Linked Product ที่ซื้อขายในตลาดหลักทรัพย์ มีประเภทใดบ้าง,0
เกณฑ์ในการแบ่งประเภทหุ้นสามัญมีอะไรบ้าง,0
สำนักงานคณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์ (ก.ล.ต.) มีหน้าที่อะไร,0
12.30 – 14.00 น. มีรายละเอียดอย่างไร,0
การประเมินมูลค่าของ DW มีอะไรบ้าง,0
ลักษณะของธุรกรรมซื้อคืน มีอะไรบ้าง,0
กองทุนตราสารหนี้ (General Fixed Income Fund) คืออะไร,0
ลักษณะการซื้อขายที่ไม่เป็นธรรมตามข้อกฎหมายของ พรบ. หลักทรัพย์และตลาดหลักทรัพย์ มีอะไรบ้าง,0
ใครคือผู้ออกตราสาร DW,0
เอกสารแนบ คืออะไร,0
การชำระราคาและส่งมอบหลักทรัพย์แบบทีละรายการ (Gross Clearing) คืออะไร,0
กรณีบริษัทล้มละลาย ลำดับในการได้รับเงินมีอะไรบ้าง,0
การประเมินมูลค่าตราสารหนี้ หมายถึงอะไร,0
ตราสารหนี้ที่ไม่กำหนดอายุไถ่ถอน (Perpetual Bond) คืออะไร,0
การปรับสิทธิเมื่อปันผลของDW เป็นอย่างไร,0
ข้อมูลจากตลาดหลักทรัพย์ มีอะไรบ้าง,0
ลักษณะของห้างหุ้นส่วนสามัญ คืออะไร,0
ลักษณะของบริษัทจำกัด คืออะไร,0
การประเมินมูลค่าตราสารหนี้ทั่วไป ทำอย่างไร,0
ลักษณะสำคัญของกองทุนรวมสินค้าโภคภัณฑ์ มีอะไรบ้าง,0
ทำไมจึงต้องติดตามภาวะการซื้อขาย,0
รูปแบบการจัดจำหน่ายหลักทรัพย์ มีกี่รูปแบบ,0
ตราสารหนี้ที่ไม่จ่ายดอกเบี้ย (Zero Coupon Bond) คืออะไร,0
Limit Price Order คืออะไร,0
การกำกับดูแลการซื้อขายที่ดีส่งผลต่อบริษัทสมาชิก (บล.) อย่างไร,0
Net Asset Value (มูลค่าทรัพย์สินสุทธิ) คืออะไร,0
หลักการกำกับดูแลให้เกิดความเป็นธรรมแก่ผู้ลงทุนและผู้เกี่ยวข้องทุกฝ่าย มีกี่แนวทาง,0
การลงทุนแบบถัวเฉลี่ยต้นทุน (Dollar-Cost Averaging: DCA) มีวิธีการลงทุนอย่างไร,0
ผู้ลงทุนสามารถตัดสินใจซื้อเมื่อใด,0
นายหน้าค้าตราสารหนี้ มีรายได้จากส่วนใด,0
NP หมายถึงอะไร,0
ตราสารหนี้ภาครัฐ คืออะไร,0
บัญชีเงินสดแบบมีหลักประกันเต็มจำนวน (Cash Balance) คืออะไร,0
DW มี Credit Risk หรือไม่,0
การลงทุนในทิศทางที่ตรงข้ามกับคนส่วนใหญ่เป็นกลยุทธ์การลงทุนแบบใด,0
ลักษณะของกิจการเจ้าของคนเดียว คืออะไร,0
Securitization คืออะไร,0
บริษัทที่ทำธุรกิจขายกองทุนรวม คืออะไร,0
ตราสารหนี้ชนิดทยอยคืนเงินต้น (Amortizing Bond) คืออะไร,0
การลงทุนแบบเน้นการเติบโต (Growth Investing) มีวิธีการลงทุนอย่างไร,0
ปัจจัยที่ส่งผลต่อผลตอบแทนด้านความสามารถในการชำระหนี้ คืออะไร,0
ประโยชน์ของตลาดซื้อคืน คืออะไร,0
ก.ล.ต. ให้ข้อมูลอะไรบ้าง,0
ผู้ที่ออกพันธบัตรรัฐวิสาหกิจ คือผู้ใด,0
สูตร Current Yield คืออะไร,0
14.30 – 16.30 น. มีรายละเอียดอย่างไร,0
พัฒนาการของระบบการซื้อขายของตลาดหลักทรัพย์แห่งประเทศไทย เป็นอย่างไร,0
Warrant (ไทย) ส่งมอบ Physical อย่างไร,0
กองทุนรวมที่มีนโยบายขายคืนอัตโนมัติ แตกต่างจากนโยบายอื่นๆอย่างไร,0
ตัวอย่างข้อมูลสถิติที่สำคัญของหลักทรัพย์ที่ถูกวิเคราะห์ มีอะไรบ้าง,0
ตราสารหนี้ที่จ่ายดอกเบี้ยลอยตัว คืออะไร,0
กองทุนรวมตลาดเงิน (Money Market) คืออะไร,0
การได้มาของตราสารในครั้งแรกของ DW ได้มาอย่างไร,0
หากต้องการเก็งกำไรจากการซื้อจะขายเมื่อราคา Warrant เป็นอย่างไร,0
ตราสารหนี้แบ่งตามวิธีจ่ายดอกเบี้ย มีอะไรบ้าง,0
กระบวนการซื้อขายในตลาดตราสารหนี้ มีอะไรบ้าง,0
ปัจจัยสำคัญที่มีผลต่อมูลค่าของหุ้นมีอะไรบ้าง,0
สิทธิทางภาษีของ LTF คืออะไร,0
การได้มาของตราสารในครั้งแรกของ Warrant (ไทย) ได้มาอย่างไร,0
การประเมินมูลค่าแบบ Absolute Valuation คืออะไร,0
ประเภทของหุ้นส่วนมีอะไรบ้าง,0
การซื้อขายในตลาด TBX กำหนดราคาซื้อขายอย่างไร,0
NR หมายถึงอะไร,0
ธุรกรรมซื้อขายปกติ คืออะไร,0
ตราสารหนี้ที่มีหลักทรัพย์ค้ำประกัน (Secured Bond) คืออะไร,0
10.00 – 12.30 น. มีรายละเอียดอย่างไร,0
ความเสี่ยงจากการผิดนัดชำระหนี้ (Credit risk) คืออะไร,0
FITCH Rating (Thailand) ให้ข้อมูลใดบ้าง,0
NAV แสดงให้เห็นอะไร,0
ATO (at the open) คืออะไร,0
ลักษณะของบริษัทจำกัดมหาชน คืออะไร,0
การจ่ายเงินปันผล REITs ต้องจ่ายเท่าใด,0
XD คืออะไร,0
เกณฑ์การหยุดการซื้อขายชั่วคราว มีอะไรบ้าง,0
อัตราการจ่ายดอกเบี้ย (Coupon Rate) คืออะไร,0
กลยุทธ์การเข้าซื้อและขาย มีกี่กลยุทธ์,0
สิทธิ์ของผู้ถือหุ้นบุริมสิทธิ มีอะไรบ้าง,0
รูปแบบของกระแสเงินสด มีรูปแบบใดบ้าง,0
H คืออะไร,0
แบ่งประเภทกองทุนรวมตามลักษณะพิเศษ มีอะไรบ้าง,0
H หมายถึงอะไร,0
วิธีการชำระราคาและส่งมอบหลักทรัพย์แบบ Net Clearing คืออะไร,0
วัตถุประสงค์การออก DW คืออะไร,0
ตราสารหนี้แบบไม่มีใบตราสาร (Scripless) มีลักษณะอย่างไร,0
กองทุนทริกเกอร์ (Trigger Fund) คืออะไร,0
บทลงโทษตามความผิดของข้อบังคับของตลาดหลักทรัพย์ มีอะไรบ้าง,0
การกำกับดูแลการซื้อขายที่ดีส่งผลต่อผู้ลงทุนอย่างไร,0
แบ่งประเภทกองทุรรวมตามลักษณะการขายคืนหน่วยลงทุน มีอะไรบ้าง,0
ใครคือผู้ออกพันธบัตรธนาคารแห่งประเทศไทย,0
ตราสารหนี้จากการแปลงสินทรัพย์เป็นหลักทรัพย์ (Securitization) คืออะไร,0
ชื่อผู้ออก (Issuer) คืออะไร,0
SB คืออะไร,0
ระดับดังนี้ความเสี่ยงจากการกระจุกตัว มีระดับใดบ้าง,0
ประเภทของสิทธิของ Warrant (ไทย) คืออะไร,0
การทำ Portfolio Rebalancing มีกี่รูปแบบ ,0
ผู้ลงทุนสามารถตัดสินใจขายเมื่อใด,0
ลักษณะของห้างหุ้นส่วนจำกัด คืออะไร,0
RMF มีนโยบายการลงทุน อย่างไร,0
สมาคมตลาดตราสารหนี้ไทย ให้ข้อมูลอะไรบ้าง,0
Lease hold คืออะไร,0
ราคาหุ้นสามัญเพิ่มขึ้น ส่งผลอย่างไรกับราคาหุ้นกู้แปลงสภาพ,0
ความเสี่ยงทางการเงิน (Financial Risk) คืออะไร,0
เกณฑ์การขึ้นเครื่องหมาย H มีอะไรบ้าง,0
Warrant (ไทย) มี Credit Risk หรือไม่,0
ประเภทของบัญชีซื้อขาย มีกี่ประเภท,0
ตลาดซื้อคืนตราสารหนี้ คืออะไร,0
ตลาดตราสารหนี้ในไทย แบ่งออกเป็นอะไรบ้าง,0
งบการเงินที่สำคัญมีอะไรบ้าง,0
Web-based application แยกย่อยได้กี่ประเภท,0
DW ส่งมอบ Physical อย่างไร,0
REITs ต้องลงทุนในอสังหาฯ ที่มีมูลค่าเท่าใด,0
บริหารแบบเชิงรับ มีเป้าหมายการลงทุนอย่างไร,0
การซื้อขายแบบ OTC สามารถแบ่งตามเกณฑ์คู่ค้าได้กี่ประเภท,0
ผู้แทนผู้ถือหุ้นกู้ ทำหน้าที่อะไร,0
ตราสารหนี้มีการค้ำประกัน (Guaranteed Bond) คืออะไร,0
การประเมินมูลค่าของ Warrant (ไทย) มีอะไรบ้าง,0
ความเสี่ยงจากปัจจัยมหภาค (Macro Factor) คืออะไร,0
ผู้ลงทุนรายย่อย คืออะไร,0
เกณฑ์การรับจดทะเบียนตราสารหนี้ในตลาด TBX มีอะไรบ้าง,0
ตราสารหนี้ระยะสั้น คืออะไร,0
ข้อความที่ต้องเน้นให้เด่นชัดในสัญญาที่บริษัทหลักทรัพย์ทำกับลูกค้า มีอะไรบ้าง,0
การส่งมอบ DW คือวิธีใด,0
XP หมายถึงอะไร,0
การรับประกันการจัดจำหน่าย คืออะไร,0
อัตราผลตอบแทนถึงวันไถ่ถอนก่อนกำหนดจากผู้ลงทุน คืออะไร,0
